ID	CANONICAL_SMILES	Ki_nM
2960	COCCOCOCc1cc2CC(C)(C)CNc2c(c1)S(=O)(=O)N[C@@H](Cc3nc4ccccc4s3)C(=O)N5CCC(CCF)CC5	125
639	COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)NCC(=O)NCc2ccc(cc2)C(=N)N	3000
1287	O=C(CNS(=O)(=O)c1ccc2ccccc2c1)N[C@@H](CCNc3ccncc3)C(=O)N4CCCCC4	300000
575	C[C@H]1CCN([C@H](C1)C(=O)O)C(=O)[C@H](CCCNC(N)N)NS(=O)(=O)c2cccc3CC(C)CNc23	1900
4290	CS(=O)(=O)c1ccccc1c2ccc3N(CCc3c2)C(=O)c4cc(nn4c5ccc6onc(N)c6c5)C(=O)N	20000
3754	COC(=O)CC(CCc1ccc(cc1)C(=O)OC)c2cccc(c2)C(=N)N	3600
4069	COc1ccc(cc1)C2=NOC(CNS(=O)(=O)C)(C2)C(=O)Nc3ccc(cn3)c4ccccc4S(=O)(=O)N	6300
3597	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N(C)[C@@H](CCCN=C(N)N)C(=O)c3nc4ccccc4s3	2100
1869	CCCc1ccc(cc1)S(=O)(=O)N[C@@H](Cc2ccc(cc2)C(=N)N)C(=O)N(C)C3CCCC3	0.84
881	COc1ccc(O)c(c1)C(=O)Nc2ccc(cc2)C(=N)N	12000
1119	CCOC(=O)N[C@@H](CCCCN)C(=O)c1noc(Cc2ccc(OCCc3ccccc3)cc2)n1	64000
592	NC(=N)c1cccc(c1)N2CC(COCc3ccccc3)CN(CC4CCN(Cc5ccccc5)CC4)C2=O	2130
3305	NC(=N)c1ccc(Oc2cc(Oc3ccc(cc3)C(=N)N)cc(c2)C(=O)N4CCC5CCCCC5C4)cc1	501
3041	CC1=CC=C(NS(=O)(=O)Cc2ccccc2)C(=O)N1CC(=O)NCc3c[nH]cn3	170
3362	Cc1cn(cn1)c2cccc(Oc3cc(cc(Oc4cc(ccc4O)C(=N)N)n3)C(=O)O)c2	650
2692	CC1(C)[C@@H]2C[C@H]3OB(O[C@@]3(C)[C@H]1C2)[C@H](CCCCN)NC(=O)Cn4nnnc4CCc5ccccc5	33
1471	Br.CC1(C)C2C[C@H]3OB(O[C@@]3(C)C1C2)C(CCC\C(=N\N)\S)NC(=O)[C@@H]4CCCN4C(=O)[C@H](Cc5ccccc5)NC(=O)OCc6ccccc6	0.0015
3081	CN[C@H](Cc1ccccc1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](CCCNC(=N)N)C(=O)c3nccn3C	200
778	CC(C)[C@H](NS(=O)(=O)c1cnccc1N[C@H](CO)Cc2ccccc2)C(=O)N3CCC(CCF)CC3	6510
